# boru Language Specification: Predicate types (fnpred)
# Format: input<TAB>expected<TAB>description
#
# fnpred is fnsig's mirror. `fn` takes input, output and body; each of the
# other two drops the slot it does not need:
#
#     fn      input  output  body     the whole function
#     fnsig   input  output           minus the BODY   → a function TYPE
#     fnpred  input          body     minus the OUTPUT → a predicate TYPE
#
# A predicate's output is not a choice — it is membership — so there is no
# output slot to write. Bound to a capitalised name, the result is a type
# every typed slot enforces.
#
# WHY IT EXISTS (NUR099). Without it the only route to an arbitrary
# predicate type is a capitalised `def` over a fn body, which makes the CASE
# of the name decide whether a body is a callable function or a membership
# test, and makes the parameter COUNT decide whether the binding is a
# predicate at all — an arity-keyed exception ADR-016 forbids. `fnpred` says
# it instead of inferring it.
#
# WHERE THE `is` ROWS ARE. `4 is Even` is the headline spelling, and it does
# not compile: a predicate type's body is a function value, and a function
# value reaching `is` is a Stage 3 compile failure — pre-existing, and identical for
# the capitalised-fn form this word replaces. Those rows therefore live in
# lang/spec/frontier/frontier-fnpred.tsv with a ledger entry, which is why
# no `is` row appears below. Every row here compiles; the typed-def and
# typed-param forms exercise the same membership through slots that do.
#
# ─────────────────────────────────────────────────────────────────────
# §1  The pair form — fnpred <input> <body>
def Even fnpred n:Integer [eq 0 (mod 2 n)]  typeof Even	Integer	the node is parented at the INPUT type, so it inherits Integer's capabilities
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def p:Even 4  p	4	a typed def admits a member
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def q:Even 5  q	ERROR:does not satisfy	…and declines a non-member
#
# §2  The spec-list form — a LIST input always selects it, exactly as with fn
def Even fnpred [[n:Integer] [eq 0 (mod 2 n)]]  def p:Even 4  p	4	the spec-list form is the same type
def Even fnpred [[n:Integer] [eq 0 (mod 2 n)]]  def q:Even 5  q	ERROR:does not satisfy	…and declines the same values
#
# §3  Both membership conventions — the body chooses
#     (a) return a Boolean
def Big fnpred n:Integer [n gt 10]  def p:Big 50  p	50	Boolean convention: true means member
def Big fnpred n:Integer [n gt 10]  def q:Big 5  q	ERROR:does not satisfy	…and false means not
#     (b) None-on-failure: the VALUE for a member, none for a non-member
def Positive fnpred n:Integer [if (n gt 0) [n] [None]]  def p:Positive 5  p	5	None-on-failure: a non-none result means member
def Positive fnpred n:Integer [if (n gt 0) [n] [None]]  def q:Positive 0  q	ERROR:does not satisfy	…and none means not
#
# §4  A predicate type is a TYPE: dispatch enforces it at parameters
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def f fn [[n:Even] [Integer] [n]]  f 4	4	a parameter admits a member
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def f fn [[n:Even] [Integer] [n]]  f 5	ERROR:signature_error	…and dispatch declines a non-member
#
# §5  Same type as the capitalised-fn form it replaces
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def p:Even 4  p	4	fnpred…
def Even fn n:Integer Boolean [eq 0 (mod 2 n)]  def p:Even 4  p	4	…and the legacy capitalised-fn route agree
#
# §6  Negatives — the spec list takes PAIRS, not triples
#     (both are runtime-only shape errors: the checker cannot statically
#     flag a malformed spec list, so they carry an unflaggedPins entry.)
def E fnpred [[n:Integer]]	ERROR:fnpred_invalid_spec	an odd-length spec list: pairs, not triples
def E fnpred [[n:Integer] [1] [2]]	ERROR:fnpred_invalid_spec	…and a triple is not a pair — that is `fn`
#     A well-shaped pair whose INPUT is not a valid param spec fails in
#     construction, exactly as `fn`'s does — fnpred adds no new leniency.
def E fnpred [[n:NoSuchTypeXyz] [1]]	ERROR:unknown type	an unknown param type is declined at construction
#
# §7  `is` against a predicate type — the headline spelling for the
#     membership a fnpred declaration creates.
#
#     These lived in lang/spec/frontier/frontier-fnpred.tsv until 2026-08-28,
#     ledgered as `function value reaches is (Stage 3)`. The compile failure was
#     never about `is`: a predicate NODE is a bare type literal that rides as
#     data, and the body runs through the callback seam, not the tape. What
#     blocked them was that the seam's nested arm declined every detached
#     unit, so the body interpreted inside the handler — admitting the rows
#     would have hidden an island rather than removed one. With foreign units
#     hostable (eng/go/vm_foreign_unit.go) the body runs on the VM, so the
#     rows compile AND stay honest; the interp-entry census is what keeps
#     that claim checkable.
def Even fnpred n:Integer [eq 0 (mod 2 n)]  4 is Even	true	an even Integer is a member
def Even fnpred n:Integer [eq 0 (mod 2 n)]  5 is Even	false	an odd one is not
def Even fnpred [[n:Integer] [eq 0 (mod 2 n)]]  4 is Even	true	the spec-list form is the same type
def Even fnpred [[n:Integer] [eq 0 (mod 2 n)]]  5 is Even	false	…and declines the same values
def Big fnpred n:Integer [n gt 10]  50 is Big	true	Boolean convention: true means member
def Big fnpred n:Integer [n gt 10]  5 is Big	false	…and false means not
def Positive fnpred n:Integer [if (n gt 0) [n] [None]]  5 is Positive	true	None-on-failure: a non-none result means member
def Positive fnpred n:Integer [if (n gt 0) [n] [None]]  0 is Positive	false	…and none means not
#     The input-type gate rejects before the body runs, so a predicate over
#     Integer never sees a String — and the TYPE itself is not an inhabitant
#     question: a bare node passes the gate as the type it is.
def Even fnpred n:Integer [eq 0 (mod 2 n)]  "x" is Even	false	the input-type gate rejects without running the body
def Even fnpred n:Integer [eq 0 (mod 2 n)]  Even is Even	true	a type literal is the type itself, not an inhabitant
